Event_ID,Event_Name,Event_Type,Start_Date,End_Date,Location_Address,Target_Audience,Associated_District,Event_Description
POP2301C,PHYPS x 버터플라이 (다나카 콜라보),팝업,2023.1.20,2023.2.2,서울 성동구 아차산로 104 3층 (무신사 테라스 성수),"10-30대, 패션, 유머",성수동,PHYPS와 탁구 브랜드 버터플라이 콜라보 팝업. 모델 다나카 사인회 및 이벤트.
POP2301D,OiOi Home Collection 팝업,팝업,2023.1.13,2023.1.18,서울 성동구 성수이로12길 12,"10-20대 여성, 패션, 라이프스타일",성수동,"오아이오아이 홈 컬렉션 런칭 팝업. 파자마, 홈웨어 등 판매."
POP2301E,신라면 x 제페토 '신라면 분식점',팝업,2023.1.9,2023.2.8,서울 성동구 연무장15길 11 (에스팩토리),"10-30대, F&B, Z세대",성수동,"제페토 메타버스 공간을 현실화한 팝업. 라면 시식, 포토존, 게임 등."
POP2301F,삼양 '쿠티크 파티 : 살롱 드 쿠티크',팝업,2023.1.27,2023.2.5,서울 성동구 연무장17길 4,"20-30대, F&B, 미식",성수동,삼양 프리미엄 짜장라면 '쿠티크' 팝업. 파인 다이닝 컨셉 시식 및 이벤트.
POP2301G,LG gram Style Lab (x 무신사),팝업,2023.1.28,2023.2.6,서울 성동구 연무장11길 19,"20-30대, IT/테크, 패션",성수동,"LG그램 신제품 체험 팝업. gram 아카이브, 스타일 추천, 드로잉 클래스."
POP2302A,다이슨 스타일랩 성수,팝업,2023.2.3,2023.2.19,서울 성동구 성수이로24길 36 2층 (카페 오우드),"20-40대, 뷰티/가전",성수동,다이슨 헤어케어 제품(에어랩 등) 체험 및 스타일링 서비스 팝업.
POP2302B,갤럭시 S23 스튜디오 성수,팝업,2023.2.4,2023.3.12,서울 성동구 연무장길 26 (베이직 스튜디오 외 5곳),"20-40대, IT/테크",성수동,삼성 갤럭시 S23 출시 기념 체험 스튜디오. 성수동 여러 곳에서 운영.
POP2302C,1유로 프로젝트 쇼룸,팝업/쇼룸,2023.2.1,2023.2.28,서울 성동구 송정18길 1-1 (코끼리빌라),"20-40대, 라이프스타일, 로컬",성수동(송정동 인접),도시 재생 프로젝트 '1유로 프로젝트' 참여 브랜드 쇼룸. (2월 가오픈)
POP2302D,유영하는 한지 (전주 천년 한지관),전시/팝업,2023.2.7,2023.2.23,서울 성동구 연무장17길 10 (LCDC 3층),"20-40대, 문화/예술",성수동,한지 오브제 전시 및 제작 체험 팝업.
POP2302E,차은우 사진전 'ARCHIVE',전시,2023.2.13,2023.2.26,서울 성동구 서울숲2길 32-14 지하2층 (더서울라이티움),"10-30대 여성, KPOP팬",성수동,아스트로 차은우의 첫 개인 사진전.
POP2302F,끌레드뽀 보떼 팝업,팝업,2023.2.16,2023.2.19,서울 성동구 아차산로 104 3층 (무신사 테라스 성수),"20-40대 여성, 뷰티",성수동,끌레드뽀 보떼 쿠션 팩트 선출시 기념 팝업. 메이크오버 서비스.
POP2302G,톰 포드 뷰티 '체리 컬렉션' 팝업,팝업,2023.2.23,2023.2.24,서울 성동구 연무장15길 11 (에스팩토리),"20-40대, 뷰티/향수",성수동,톰 포드 뷰티 체리 컬렉션 런칭 팝업.
POP2302H,OAOA 슬라임 베이커 팝업,팝업,2023.2.16,2023.2.19,서울 성동구 왕십리로6길 4-5 1층 (카페 오아오아),"10-20대, 슬라임/캐릭터",성수동(서울숲 인근),슬라임 브랜드 OAOA의 베이커리 컨셉 팝업. 디저트 모양 슬라임.
POP2303A,마리끌레르 30주년 '서른이란마리야',팝업,2023.2.24,2023.3.19,서울 성동구 연무장15길 11 C동 110호 (RSG성수),"20-40대, 패션/문화",성수동,마리끌레르 코리아 30주년 기념 팝업. 디지털 커버 촬영 이벤트.
POP2303B,리솔츠 'Conquest of Happiness',팝업,2023.2.17,2023.3.15,서울 성동구 연무장17길 10 (LCDC SEOUL),"20-40대, 뷰티/웰니스",성수동,웰니스 뷰티 브랜드 리솔츠 팝업. 리추얼 제품 체험.
POP2303C,마크 슬로퍼 개인전 'THE ART OF NEON',전시,2023.2.23,2023.3.12,서울 성동구 왕십리로 76 (StART PLUS),"20-40대, 예술/디자인",성수동(서울숲 인근),영국 펑크 아티스트 마크 슬로퍼의 네온 작품 개인전.
POP2303D,신드롬 아카이브 '센스오브성수' 페스티벌,마켓/페스티벌,2023.3.4,2023.3.5,서울 성동구 왕십리로 63 (언더스탠드에비뉴),"20-30대, 라이프스타일",성수동(서울숲 인근),"12개 브랜드가 참여하는 F&B, 패션, 핸드메이드 마켓 페스티벌."
POP2303E,CHALKBOY from WHW 팝업,팝업/전시,2023.3.11,2023.4.2,서울 성동구 성수이로3길 18-1 (프로젝트렌트 올드타운),"20-30대, 디자인/카페",성수동,일본 초크 아티스트 초크보이의 국내 첫 전시 팝업. 라이브 페인팅.
POP2303F,폴로 랄프로렌 '복싱 클럽' 팝업,팝업,2023.3.10,2023.3.16,서울 성동구 아차산로 104 3층 (무신사 테라스 성수),"20-40대, 패션",성수동,폴로 랄프로렌 복싱 컨셉 컬렉션 팝업. 포토존 및 멤버십 카드 발급.
POP2303G,에비앙 x 투르드프랑스 팝업,팝업,2023.3.10,2023.3.18,서울 성동구 연무장15길 11 (제인마치메종),"20-40대, F&B/스포츠",성수동,생수 브랜드 에비앙과 자전거 대회 투르드프랑스 콜라보 팝업.
POP2303H,닥터자르트 '시카 페어 정글',팝업,2023.3.3,2023.3.31,서울 성동구 성수이로 71 (수피하우스),"20-30대 여성, 뷰티",성수동,닥터자르트 시카페어 리뉴얼 기념 야외 설치물 및 팝업.
POP2304A,CHI '화원' 팝업,팝업,2023.4.7,2023.4.16,서울 성동구 연무장길 62,"20-30대, 향수/라이프스타일",성수동,라이프 프래그런스 브랜드 CHI의 신제품 '화원' 런칭 팝업.
POP2304B,이니스프리 '더:뉴아일' 팝업,팝업,2023.4.5,2023.4.23,서울 성동구 아차산로 78 (이구성수),"10-30대, 뷰티",성수동,이니스프리 리브랜딩 기념 팝업. '섬' 컨셉의 체험 공간.
POP2304C,르꼬끄 '르 코트 플레이' 팝업,팝업,2023.4.5,2023.4.9,서울 성동구 왕십리로 63 (언더스탠드에비뉴),"20-30대, 스포츠/테니스",성수동(서울숲 인근),르꼬끄 테니스화 '르 코트 플레이' 런칭 팝업. 테니스 코트 및 게임존.
POP2304D,선데이플래닛47 '식물 샌드위치 가게',팝업,2023.4.5,2023.4.23,서울 성동구 연무장17길 10 (LCDC),"20-40대, 라이프스타일/가드닝",성수동,반려식물 브랜드 선데이플래닛47 팝업. 식물 커스터마이징.
POP2304E,투쿨포스쿨 'Mr.Rodin’s Gelato Shop',팝업,2023.4.8,2023.4.19,서울 성동구 서울숲2길 42,"10-20대 여성, 뷰티",성수동(서울숲 인근),투쿨포스쿨 쉐딩 신제품 출시 기념 팝업. 젤라또 증정 이벤트.
POP2304F,파인드카푸어 'Fancy Waste' 팝업,팝업,2023.4.15,2023.6.18,서울 성동구 성수이로7가길 24,"10-20대 여성, 패션",성수동,패션 브랜드 파인드카푸어의 팬시 스토어 컨셉 팝업. 가방 렌탈 서비스.
POP2304G,빌리프 x 틸테이블 '빌리프 월드',팝업,2023.4.1,2023.4.29,서울 성동구 성수이로7가길 24 (틸테이블),"20-30대, 뷰티/라이프스타일",성수동,빌리프 아쿠아 밤 점보 에디션 출시 기념 팝업. 식물 오브제 전시.
POP2304H,콤팩트레코드바 x 엄브로 팝업,팝업,2023.4.14,2023.4.16,서울 성동구 연무장길 81 (스퀘어 서울 성수),"20-30대, 패션/음악",성수동,레코드바와 스포츠 브랜드 엄브로의 콜라보 컬렉션 팝업.
POP2304I,럭키마르쉐 x 무신사 팝업,팝업,2023.4.5,2023.4.18,서울 성동구 아차산로 104 3층 (무신사 테라스 성수),"10-20대, 패션",성수동,럭키마르쉐와 무신사 단독 컬렉션 런칭 팝업. 테니스 컨셉.
POP2305A,젠틀몬스터 'BOLD' 컬렉션 팝업,팝업,2023.4.28,2023.5.14,서울 성동구 아차산로9길 41 (레이어 41),"20-30대, 패션",성수동,젠틀몬스터 볼드 컬렉션 2차 라인업 런칭 기념 팝업.
POP2305B,"마리떼 프랑소와 저버 'IMAGINE, DENIM'",팝업,2023.4.28,2023.5.14,서울 성동구 성수이로18길 8 (비컨 스튜디오),"10-30대, 패션",성수동,마리떼 프랑소와 저버의 첫 브랜드 팝업. 데님 컬렉션 중심.
POP2305C,르세라핌 'UNFORGIVEN' 팝업,팝업,2023.4.26,2023.5.7,서울 성동구 연무장5길 20 (쎈느),"10-20대, KPOP팬",성수동,르세라핌 정규 1집 발매 기념 팝업 스토어. 앨범 감상 및 굿즈 판매.
POP2305D,아디다스 CONFIRMED 앱 팝업,팝업,2023.4.28,2023.5.15,서울 성동구 성수이로 97 (EMPTY),"10-30대, 스니커즈/패션",성수동,아디다스 컨펌드 앱 런칭 기념 팝업. 빈티지 스니커즈 전시 및 래플.
POP2305E,탬버린즈 'HARVEST PERFUME SOAP' 팝업,팝업,2023.4.28,2023.5.28,서울 성동구 연무장5길 8,"20-30대 여성, 뷰티/라이프스타일",성수동,탬버린즈 퍼퓸 비누 컬렉션 런칭 팝업. 시골 농장 컨셉.
POP2305F,밀키스 '구름 하우스' 팝업,팝업,2023.5.3,2023.5.16,서울 성동구 서울숲2길 43 (테디스오븐),"10-30대, F&B/캐릭터",성수동(서울숲 인근),밀키스 제로 출시 기념 팝업. 시나모롤 콜라보. 디저트 판매.
POP2305G,삼화페인트 'MY AURA' 팝업,팝업,2023.5.5,2023.5.14,서울 성동구 연무장5길 9-13 (Looop),"20-30대, 라이프스타일/컬러",성수동,"삼화페인트 컬러 테라피 팝업. 맞춤형 향, 컬러, 음악 추천."
POP2305H,피치스 x 타미야 'D8NE Children’s Day',팝업/이벤트,2023.5.5,2023.5.7,서울 성동구 연무장3길 9 (피치스 도원),"가족 단위, 키덜트, 자동차",성수동,자동차 문화 브랜드 피치스와 타미야의 어린이날 기념 미니카 이벤트.
POP2305I,스테인가르텐 팝업,팝업,2023.4.27,2023.5.10,서울 성동구 아차산로 104 3층 (무신사 테라스 성수),"20-30대, 패션",성수동,신원 신규 브랜드 스테인가르텐 런칭 팝업. 지속가능성 컨셉.
POP2305J,캘빈클라인 x 제니 캡슐 컬렉션 팝업,팝업,2023.5.11,2023.5.17,서울 성동구 연무장5길 20 (쎈느),"10-30대 여성, 패션, KPOP팬",성수동,캘빈클라인과 블랙핑크 제니의 협업 컬렉션 런칭 팝업.
POP2305K,엄브로 '헬시마켓' 팝업,팝업,2023.5.11,2023.5.17,서울 성동구 뚝섬로17가길 55 (테니),"20-30대, 패션/라이프스타일",성수동,엄브로 헬시마켓 컬렉션 런칭 기념 팝업. 런던 마켓 컨셉.
POP2305L,데이지크 'ICE CREAM SHOP' 팝업,팝업,2023.5.5,2023.5.14,서울 성동구 연무장길 47 (마를리),"10-20대 여성, 뷰티",성수동,코스메틱 브랜드 데이지크의 아이스크림 컬렉션 런칭 팝업.
POP2306A,나뚜르 '시크릿가든' 팝업,팝업,2023.6.3,2023.7.2,서울 성동구 성수이로3길 18-1 (프로젝트렌트 올드타운),"20-30대, F&B/디저트",성수동,아이스크림 브랜드 나뚜르의 여름 시즌 팝업. 디저트 카페 컨셉.
POP2306B,LG 디오스 x 유어네이키드치즈 팝업,팝업,2023.6.9,2023.7.9,서울 성동구 왕십리로10길 6 1층,"20-40대, F&B/라이프스타일",성수동(서울숲 인근),LG전자 가전과 치즈 전문점 유어네이키드치즈 협업 팝업. 와인 시음.
POP2306C,하겐다즈 '쥬뗌므 마카롱' 팝업,팝업,2023.6.6,2023.6.28,서울 성동구 연무장길 38-1 (GS25 도어투성수),"20-30대, F&B/디저트",성수동,하겐다즈 마카롱 아이스크림 신제품 팝업. DIY 아이스크림 체험.
POP2306D,스포티파이 'Dive into KR-Audio',팝업,2023.6.23,2023.7.2,서울 성동구 연무장5길 20 (쎈느),"10-30대, 음악",성수동,음악 스트리밍 서비스 스포티파이의 한국 오디오 콘텐츠 체험 팝업.
