Event_ID,Event_Name,Event_Type,Start_Date,End_Date,Location_Address,Target_Audience,Associated_District,Event_Description
ANC001,2023년 설날 연휴,명절대목,2023.1.21,2023.1.24,성동구 전역,가족 단위,성동구 전체,설날 연휴로 인한 귀성 및 가족 모임. 명절 선물 및 식자재 수요 급증.
ANC002,2023년 가정의 달,시즌이벤트,2023.5.1,2023.5.31,성동구 전역,가족 단위,성동구 전체,"어린이날, 어버이날 등이 포함된 달. 외식, 선물, 가족 나들이 수요 증가."
ANC003,2023년 추석 연휴,명절대목,2023.9.28,2023.10.3,성동구 전역,가족 단위,성동구 전체,추석 연휴 및 임시 공휴일 포함 6일 황금 연휴. 식자재 및 선물 수요 급증.
ANC004,2023년 연말 시즌,시즌이벤트,2023.12.1,2023.12.31,성동구 전역,"20-40대, 연인, 직장인",성동구 전체,"크리스마스 포함 연말연시. 송년회, 회식, 데이트 수요 폭발적 증가."
ANC005,2024년 설날 연휴,명절대목,2024.2.9,2024.2.12,성동구 전역,가족 단위,성동구 전체,설날 연휴(대체공휴일 포함). 명절 선물 및 식자재 수요 급증.
ANC006,2024년 가정의 달,시즌이벤트,2024.5.1,2024.5.31,성동구 전역,가족 단위,성동구 전체,"어린이날, 어버이날 등이 포함된 달. 외식, 선물, 가족 나들이 수요 증가."
ANC007,2024년 추석 연휴,명절대목,2024.9.16,2024.9.18,성동구 전역,가족 단위,성동구 전체,추석 연휴. 식자재 및 선물 수요 급증.
ANC008,2024년 연말 시즌,시즌이벤트,2024.12.1,2024.12.31,성동구 전역,"20-40대, 연인, 직장인",성동구 전체,"크리스마스 포함 연말연시. 송년회, 회식, 데이트 수요 폭발적 증가."
SEO001,2023년 서울숲 벚꽃 시즌,지역축제,2023.3.27,2023.4.5,서울 성동구 뚝섬로 273 (서울숲),"20-30대 연인, 가족 단위","뚝섬, 성수",서울숲 벚꽃 만개 시기. 나들이 및 피크닉 유동인구 급증.
SEO002,2024년 서울숲 벚꽃 시즌,지역축제,2024.4.1,2024.4.10,서울 성동구 뚝섬로 273 (서울숲),"20-30대 연인, 가족 단위","뚝섬, 성수",서울숲 벚꽃 만개 시기. 나들이 및 피크닉 유동인구 급증.
